Gene,StateA,StateB
Gata2,c192,c200
Cebpa,c193,c71
EKLF,c193,c117
Gfi1,c193,c189
Scl,c193,c191
cJun,c193,c192
Gata2,c193,c201
Cebpa,c194,c72
EKLF,c194,c118
Fog1,c194,c178
Gata2,c194,c186
cJun,c194,c195
Scl,c194,c196
Gfi1,c194,c198
EgrNab,c194,c210
Cebpa,c195,c73
EKLF,c195,c119
Fog1,c195,c179
Gata2,c195,c187
cJun,c195,c194
Scl,c195,c197
Gfi1,c195,c199
EgrNab,c195,c211
Cebpa,c196,c74
EKLF,c196,c120
Fog1,c196,c180
Gata2,c196,c188
Scl,c196,c194
cJun,c196,c197
Gfi1,c196,c200
EgrNab,c196,c212
Cebpa,c197,c75
EKLF,c197,c121
Fog1,c197,c181
Gata2,c197,c189
Scl,c197,c195
cJun,c197,c196
Gfi1,c197,c201
EgrNab,c197,c213
Cebpa,c198,c76
EKLF,c198,c122
Fog1,c198,c182
Gata2,c198,c190
Gfi1,c198,c194
cJun,c198,c199
Scl,c198,c200
Cebpa,c199,c77
EKLF,c199,c123
Fog1,c199,c183
Gata2,c199,c191
Gfi1,c199,c195
cJun,c199,c198
Scl,c199,c201
Cebpa,c200,c78
EKLF,c200,c124
Fog1,c200,c184
Gata2,c200,c192
Gfi1,c200,c196
Scl,c200,c198
cJun,c200,c201
Cebpa,c201,c79
EKLF,c201,c125
Fog1,c201,c185
Gata2,c201,c193
Gfi1,c201,c197
Scl,c201,c199
cJun,c201,c200
EKLF,c202,c154
EgrNab,c202,c178
cJun,c202,c203
Scl,c202,c204
Fog1,c202,c210
EKLF,c203,c155
EgrNab,c203,c179
cJun,c203,c202
Scl,c203,c205
Fog1,c203,c211
Cebpa,c204,c80
EKLF,c204,c156
EgrNab,c204,c180
Scl,c204,c202
cJun,c204,c205
Fog1,c204,c212
Cebpa,c205,c81
EKLF,c205,c157
EgrNab,c205,c181
Scl,c205,c203
cJun,c205,c204
Fog1,c205,c213
Cebpa,c206,c82
EKLF,c206,c158
EgrNab,c206,c186
cJun,c206,c207
Scl,c206,c208
Gata2,c206,c210
Cebpa,c207,c83
EKLF,c207,c159
EgrNab,c207,c187
cJun,c207,c206
Scl,c207,c209
Gata2,c207,c211
Cebpa,c208,c84
EKLF,c208,c160
EgrNab,c208,c188
Scl,c208,c206
cJun,c208,c209
Gata2,c208,c212
Cebpa,c209,c85
EKLF,c209,c161
EgrNab,c209,c189
Scl,c209,c207
cJun,c209,c208
Gata2,c209,c213
Cebpa,c210,c86
EKLF,c210,c162
EgrNab,c210,c194
Fog1,c210,c202
Gata2,c210,c206
cJun,c210,c211
Scl,c210,c212
Cebpa,c211,c87
EKLF,c211,c163
EgrNab,c211,c195
Fog1,c211,c203
Gata2,c211,c207
cJun,c211,c210
Scl,c211,c213
Cebpa,c212,c88
EKLF,c212,c164
EgrNab,c212,c196
Fog1,c212,c204
Gata2,c212,c208
Scl,c212,c210
cJun,c212,c213
Cebpa,c213,c89
EKLF,c213,c165
EgrNab,c213,c197
Fog1,c213,c205
Gata2,c213,c209
Scl,c213,c211
cJun,c213,c212
